FORMULA	FIXEDMASS
C7H14F5N2O3S	301.0639808
C12H10F7N	301.0701469
C4Cl2F8O2	301.9147604
C4ClF9OS	301.9214673
C4F10O2S	301.9459324
C8F10O	301.9789468
C5HF11O2	301.9800897
C8H3F9S	301.9811751
C6H2F12	301.9964887
C6H2F12	301.9964887
C6H5F7N2O4	302.0137542
C7H12F5O3PS	302.016493
C11H5F7O2	302.0177769
C8H9F7O2S	302.0211481
C10H5F7N2O	302.0290103
C9H7F9O	302.0353188
C12H9F7O	302.0541624
C12H9F7O	302.0541624
C12H9F7O	302.0541624
C10H11F9	302.0717043
C10H16F8N	302.1149517
C10H4F7NO2	303.0130259
C8H4F7N5	303.0354927
C11H8F7NO	303.0494114
C11H8F7NO	303.0494114
C11H8F7NO	303.0494114
C7H8BrF7	303.9697599
C5F12O	303.9757533
C5F12O	303.9757533
C8H5F9O2	304.0145834
C8H5F9O2	304.0145834
C8H5F9O2	304.0145834
C8H5F9O2	304.0145834
C8H11F7S2	304.0190399
C11H7F7O2	304.033427
C11H7F7O2	304.033427
C11H7F7O2	304.033427
C11H7F7O2	304.033427
C10H7F7N2O	304.0446604
C9H9F9O	304.0509689
C10H13F9	304.0873544
C7H4F9NS	304.9920741
C10H6F7NS	305.0109177
C7H7F8NOS	305.0120606
C10H6F7NO2	305.028676
C7H3F9O3	305.9938479
C7H3F9O3	305.9938479
C7H3F9O3	305.9938479
C7H6F8O2S	305.9960762
C6H3F9N2O2	306.0050813
C10H5F7O3	306.0126916
C10H5F7O3	306.0126916
C8H7F9O2	306.0302334
C8H7F9O2	306.0302334
C8H7F9O2	306.0302334
C8H7F9O2	306.0302334
C11H9F7S	306.0313188
C11H9F7O2	306.0490771
C9H11F9O	306.066619
C9H11F9O	306.066619
C9H11F9O	306.066619
C11H11F7NO	306.0723379
C9H17F3N2O4S	306.0861127
C5H4F7NO4S	306.9749261
C9H4F7NO3	307.0079405
C8H4F7N3O2	307.0191739
C10H5F8NO	307.0243395
C10H5F8NO	307.0243395
C7H6F9NO2	307.0254824
C9H18F3N2O4S	307.0933891
C10H16F5N2O3	307.1075599
C2HF9O3S2	307.9223399
C6HF9O4	307.9731125
C10H4ClF7O	307.98389
C7H2F10O2	307.9895115
C7H2F10O2	307.9895115
C7H5F9O3	308.009498
C7H5F9O3	308.009498
C8H9F9O2	308.0458835
C8H9F9O2	308.0458835
C10H17F5N2O3	308.1159335
C6H4F9NO3	309.004747
C4H2F7I	309.9089456
C5H2F8O4S	309.9546053
C6F10O3	309.9687761
C6F10O3	309.9687761
C6H3F9O4	309.9887626
C6H3F9O4	309.9887626
C8H7F5O5S	309.9934354
C7H4F10O2	310.0051616
C7H7F9OS	310.0073898
C7H7F9OS	310.0073898
C11H7F9	310.0404042
C11H13F7O2	310.0803772
C6F11NO	310.980424
C7H4F7N3OS	310.9963303
C10H6F9N	311.0356532
C10H6F9N	311.0356532
C13H8F7N	311.0544968
C13H8F7N	311.0544968
C9H14F5NO3S	311.0614554
C11H16F7NO	311.1120117
C3F7IO	311.8882102
C3F7IO	311.8882102
C5HF9O3S	311.9502689
C5HF9O5	311.9680271
C5H4F8O4S	311.9702554
C6H2F10O3	311.9844261
C7H3F11O	312.0008251
C7H3F11O	312.0008251
C7H3F11O	312.0008251
C7H3F11O	312.0008251
C7H3F11O	312.0008251
C6H3F11N2	312.0120585
C10H5F9O	312.0196688
C8H7F7N2O3	312.0345
C8H7F11	312.0372106
C12H7F7N2	312.0497458
C11H9F9	312.0560543
C10H11F7O3	312.0596418
C9H17F5N2O2S	312.0930899
C10H19F5NO2S	312.1051174
C5H4F9NO2S	312.9819033
C6H2F11NO	312.9960741
C7H6F11N	313.0324596
C8H12F5NO4S	313.04072
C8H12F5NO4S	313.04072
C11H6F7N3	313.0449947
C9H18F5N2O2S	313.1003663
C5ClF9O3	313.9392255
C5H3F9O3S	313.9659189
C5H3F9O3S	313.9659189
C6HF11O2	313.9800897
C7H2F12	313.9964887
C7H2F12	313.9964887
C7H5F11O	314.0164752
C7H5F11O	314.0164752
C7H5F11O	314.0164752
C7H5F11O	314.0164752
C11H5F7N2O	314.0290103
C9H9F7O4	314.0389063
C10H5F7N4	314.0402437
C12H9F7N2	314.0653958
C12H9F7N2	314.0653958
C10H15F7NO2	314.0985527
C12H8F7NO	315.0494114
C12H8F7NO	315.0494114
C12H8F7NO	315.0494114
C12H8F7NO	315.0494114
C9H9F8NO2	315.0505543
C9H14F7N2O2	315.0938016
C4HClF8O3S	315.9207183
C4H2ClF8O3P	315.930234
C7HCl2F7N2	315.9405009
C4HF9O4S	315.9451835
C4HF9O4S	315.9451835
C6H3Cl2F9	315.9468094
C6ClF11	315.9512881
C6F12O	315.9757533
C6F12O	315.9757533
C6F12O	315.9757533
C6F12O	315.9757533
C6F12O	315.9757533
C6F12O	315.9757533
C6F12O	315.9757533
C6F12O	315.9757533
C6H3F11O2	315.9957398
C6H3F11O2	315.9957398
C8H7F7O3S	316.0004126
C8H2F10N2	316.0058303
C7H4F12	316.0121388
C12H7F7O2	316.033427
C12H7F7O2	316.033427
C11H7F7N2O	316.0446604
C10H9F9O	316.0509689
C10H12F8S	316.0531971
C11H13F9	316.0873544
C11H18F8N	316.1306018
C10H6F7N3O	317.0399094
C9H8F9NO	317.0462179
C12H10F7NO	317.0650615
C12H10F7NO	317.0650615
C12H10F7NO	317.0650615
C12H10F7NO	317.0650615
C12H10F7NO	317.0650615
C4ClF9O2S	317.9163819
C4F10O3S	317.9408471
C9HF11	317.9902605
C8H3F9O3	317.9938479
C11H5F7O3	318.0126916
C9H7F9O2	318.0302334
C9H7F9O2	318.0302334
C9H7F9O2	318.0302334
C8H9F7O5	318.0338209
C12H9F7O2	318.0490771
C11H15F9	318.1030045
C10H4F7NOS	318.9901823
C10H4F7NO3	319.0079405
C11H8F7NO2	319.044326
C11H8F7NO2	319.044326
C11H8F7NO2	319.044326
C11H8F7NO2	319.044326
C9H10F9NO	319.0618679
C9H10F9NO	319.0618679
C12H12F7NO	319.0807115
C7H8BrF7O	319.9646745
C5F12O2	319.9706679
C6HF13	319.9870669
C6HF13	319.9870669
C6HF13	319.9870669
C10H4ClF7N2	319.9951233
C8H5F9O3	320.009498
C8H5F9O3	320.009498
C12H5F9	320.0247541
C11H7F7O3	320.0283416
C10H7F7N2O2	320.039575
C9H9F9O2	320.0458835
C9H9F9O2	320.0458835
C9H9F9O2	320.0458835
C11H10F6O4	320.0483281
C10H13F9O	320.082269
C10H15F9N	320.1055299
